Alfred,64
Babson,39
Berry,10
Bethany (West Virginia),44
Calvin,12
Carnegie Mellon,42
Case Western Reserve,46
Christopher Newport,59
Claremont-Mudd-Scripps,8
Coe,57
Convenant,24
Cornell (Iowa),25
East Texas Baptist,30
Eastern Nazarene,27
Eastern University,29
Edgewood,52
Emory,7
Framingham State,55
Gallaudet,28
Gettysburg,36
Greenville,53
Gustavus Adolphus,18
Hope,2
Hunter,49
Ithaca,21
Johns Hopkins,9
Juniata,1
La Verne,20
Lasell,34
Manhattanville,33
Mary Washington,22
Marymount (Virginia),63
Massachusetts Dartmouth,40
Meredith,38
Middlebury,58
Millikin,56
MIT,19
Mount St. Joseph,15
Mount Union,48
New York University,32
North Park,13
Northwestern (Minn.),5
NYU,6
Otterbein,43
Pacific Lutheran,47
Penn State-Altoona,60
Ramapo,26
Salisbury,45
Springfield,35
St. Olaf,50
Stevens Institute of Technology,51
Stevenson,41
SUNY Cortland,31
Transylvania,17
Trinity (Texas),11
Tufts,61
Washington and Lee,54
Washington-St. Louis,14
Wentworth,37
Wesleyan (Connecticut),16
Wisconsin-Oshkosh,3
Wisconsin-Stevens Point,23
Wisconsin-Whitewater,4
Wittenberg,62
